Distributeur,tconst,Année_de_Sortie,Genre,Réalisateur_id,Réalisateur,Acteur_Id,Acteur,Actrice_Id,Actrice,Id_film,original_language,Titre,Synopsis,Popularité,Affiche_de_Film,Pays,Revenues,Durée,Langues,Note,Nombre_de_Vote,Catégorie
ARTEDIS,tt0824412,2007.0,Drama,nm0074213,Jacob Berger,nm0865333|nm2183372|nm0815668|nm0879785|nm1111610,"Bruno Todeschini,Louis Dussol,Zinedine Soualem,Hiro Uchiyama,Julien George",nm0753696|nm0462485|nm2035351|nm1682618|nm0581082,"Natacha Régnier,Noémie Kocher,Amelia Jacob,Isabelle Caillat,Véronique Mermoud",283467,fr,1 journée,"Jacob Berger’s film shows a day in the life of a family. People meet and leave, and wonder, will they find themselves again? At daybreak, Serge believes he has committed a crime. Pietra realises that she has been betrayed around midday. At one o’clock 8-year-old Vlad feels lovesick for the first time. The day is spent observing, looking, avoiding and meeting each other. One day, three different perspectives: the same evening twilight, the same loneliness. And there is always the stranger who crosses their path. How will Serge, Pietra and Vlad find each other?",0.6,/1bYZTdvta8091K2LVNLvE0FOZ75.jpg,"['FR', 'CH']",0,95,['fr'],5.0,2,Art et Essai
Bac Films,tt7501966,2018.0,"Comedy,Drama,Family",nm3930693,Marie-Sophie Chambon,nm0714235|nm0483200|nm0893830,"Philippe Rebbot,Jonathan Lambert,Guillaume Verdier",nm10743148|nm7742761|nm1551852|nm8664148|nm0993405,"Laure Duchene,Angèle Metzger,Pauline Serieys,Zoé De Tarlé,Isabelle de Hertogh",504054,fr,100 kilos d'étoiles,"Lois, 16, has only one dream: becoming an astronaut. However, although she’s gifted in physics, she has a big problem: Lois weighs over 200 pounds – a family trait she’s inescapably stuck with. Then, just when everything seems lost, Lois meets Amélie, Stannah, and Justine: three teenagers shattered, like her, by life’s tough breaks; yet ready for anything in order to leave with her for outer space…",1.897,/2V5psYsUdmz5og3gy6xSQfPpeuT.jpg,['FR'],0,88,['fr'],5.9,26,Art et Essai
ACACIAS,tt0237993,2000.0,"Comedy,Drama,Romance",nm0466349,Baltasar Kormákur,nm0350273|nm0466349|nm0959963|nm0348276|nm0259547,"Hilmir Snær Guðnason,Baltasar Kormákur,Ólafur Darri Ólafsson,Þröstur Leó Gunnarsson,Eyvindur Erlendsson",nm0000721|nm0439557|nm0897518|nm0085031,"Victoria Abril,Hanna María Karlsdóttir,Þrúður Vilhjálmsdóttir,Halldóra Björnsdóttir",10989,is,101 Reykjavík,"Thirty-year-old Hlynur still lives with his mother and spends his days drinking, watching porn and surfing the net while living off unemployment checks. A girl is interested in him, but he stands back from commitment. His mother's Spanish flamenco teacher, Lola, moves in with them for Christmas. On New Year's Eve, while his mother is away, Hlynur finds out Lola is a lesbian, but also ends up having sex with her. He soon finds out he and his mother are sharing more than a house. Eventually he must find out where he fits into the puzzle, and how to live life less selfishly.",5.799,/2vLEq5gD90ElBSOqZsj6AAVxoLV.jpg,"['DK', 'FR', 'DE', 'IS', 'NO']",0,88,"['is', 'es', 'en']",6.263,95,Art et Essai
GEBEKA Films,tt3433622,2014.0,Animation,nm0603756,Pascal Morelli,nm0419894|nm2018986|nm0154007|nm0135151|nm0146244,"Lucien Jean-Baptiste,Bertrand Nadler,Jean-Yves Chatelais,Franck Capillery,Philippe Catoire",nm4026842|nm7034552|nm1468693|nm3761626,"Daniela Labbé Cabrera,Lucille Boudonnat,Hélène Bizot,Hanako Danjo",319356,fr,108 Rois-Démons,"Empire of China. 12th century.  The King Demons terrorize the land. To defeat these monsters, one needs the courage of a hundred tigers, the strength of a thousand buffalo, the cunning of as many snakes... and have the luck of the devil.  All young Prince Duan has are fanciful illusions and stoutness.  All Zhang-the-Perfect has is his monk's staff and a bunch of incomprehensible proverbs.  All the little beggar Pei Pei has is the gift of the gab and a large appetite.  But, most of all, Prince Duan, the old monk and the little beggar girl didn't know that it is impossible to defeat the King Demons.  So they did it!",1.619,/xreS5heEDeMieIs26PGLwZReq4X.jpg,"['BE', 'FR', 'LU']",0,107,['fr'],7.2,5,Art et Essai
PALMERAIE ET DESERT,tt0395421,2004.0,Documentary,nm0220019,Raymond Depardon,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,125742,fr,10e chambre - Instants d'audience,"The proceedings of a Paris courtroom are the grist for this documentary. Drawn from over 200 appearances before the same female judge, the director chooses a dozen or so varied misdemeanor and civil hearings to highlight the subtle details of human behavior. In the process he draws attention to issues of guilt, innocence, policing and ethnicity in France.",1.443,/2kykPNLRCxlM23EnVOpWLwUdAbH.jpg,['FR'],0,105,['fr'],7.3,21,Art et Essai
KINOVISTA,tt0488478,2007.0,"Crime,Drama,Thriller",nm0586482,Nikita Mikhalkov,nm0538710|nm0307628|nm2807939|nm0586482|nm0300781,"Sergey Makovetskiy,Sergey Garmash,Apti Magamaev,Nikita Mikhalkov,Valentin Gaft",UNKNOWN,UNKNOWN,20714,ru,12,"A loose remake of “12 Angry Men”, “12” is set in contemporary Moscow where 12 very different men must unanimously decide the fate of a young Chechen accused of murdering his step-father, a Russian army officer. Consigned to a makeshift jury room in a school gymnasium, one by one each man takes center stage to confront, connect, and confess while the accused awaits a verdict and revisits his heartbreaking journey through war in flashbacks.",7.561,/7bl0aH8u7oBcd4QK9Fml01IN8KU.jpg,['RU'],7537453,159,"['ce', 'ru']",7.161,205,Art et Essai
WILD BUNCH,tt6777114,2017.0,Documentary,nm0220019,Raymond Depardon,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,452221,fr,12 jours,A new documentary by filmmaker-photographer Raymond Depardon – where justice and psychiatry meet.,3.233,/sVVu9qO7uhLpsjNDser7AZXCEwA.jpg,['FR'],0,87,['fr'],7.1,44,Art et Essai
MARS Distribution,tt2024544,2013.0,"Biography,Drama,History",nm2588606,Steve McQueen,nm0252230|nm0931324|nm1055413|nm0000093|nm4833412,"Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender,Brad Pitt,Dwight Henry",nm1788122|nm0779427|nm4832920,"Ashley Dyke,Kelsey Scott,Quvenzhané Wallis",76203,en,12 Years a Slave,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",18.692,/xdANQijuNrJaw1HA61rDccME4Tm.jpg,"['US', 'GB']",187000000,134,['en'],7.946,10332,Art et Essai
MEMENTO FILMS,tt6135348,2017.0,Drama,nm0133028,Robin Campillo,nm1465580|nm1798489|nm6995530|nm9029751|nm8933245,"Nahuel Pérez Biscayart,Arnaud Valois,Antoine Reinartz,Félix Maritaud,Ariel Borenstein",nm1194748|nm7943224,"Adèle Haenel,Aloïse Sauvage",451945,fr,120 battements par minute,"Paris, in the early 1990s: a group of young activists is desperately tied to finding the cure against an unknown lethal disease. They target the pharmaceutical labs that are retaining potential cures, and multiply direct actions, with the hope of saving their lives as well as the ones of future generations.",9.964,/azLtGx5ZhdTSP2b4oNLWtiE51OW.jpg,['FR'],7632420,135,['fr'],7.7,1241,Art et Essai
REZO FILMS,tt0932507,2007.0,"Crime,Drama,Thriller",nm1758990,Barthélémy Grossmann,nm1758990|nm0419894|nm1763487|nm0508293|nm0276567,"Barthélémy Grossmann,Lucien Jean-Baptiste,Youssef Hajdi,Thierry Lhermitte,Alain Figlarz",nm0067367,Bérénice Bejo,31862,fr,13 m²,"Jose is looking for a way out of his small time banlieue deals. When he overhears a conversation between his girlfriend and his step-brother,he might just have found a very lucrative way.Together with his two best friends,he decides to attack an armored vehicle, full of cash. But everything goes wrong and they're forced into hiding,in a 13 square meters bunker. There, they will have to test their friendship, their motivations, as every move outside triggers even more, paranoia.",1.744,/x0emlDBvjgt3OZ2Vxee9sygH64v.jpg,['FR'],0,84,['fr'],5.111,18,Art et Essai
MK2 DIFFUSION,tt0475169,2005.0,"Crime,Drama,Thriller",nm1201875,Géla Babluani,nm2073007|nm0714534|nm0094445|nm0880774|nm0683091,"George Babluani,Aurélien Recoing,Pascal Bongard,Fred Ulysse,Nicolas Pignon",nm2182629,Olga Legrand,6077,fr,13 Tzameti,"Sebastian, a young man, has decided to follow instructions intended for someone else, without knowing where they will take him. Something else he does not know is that Gerard Dorez, a cop on a knife-edge, is tailing him. When he reaches his destination, Sebastian falls into a degenerate, clandestine world of mental chaos behind closed doors in which men gamble on the lives of others men.",7.138,/h9d0nHU61Ln9GH2rUmYkR52RFXx.jpg,['FR'],767311,93,"['fr', 'ka', 'de']",7.031,194,Art et Essai
Météore,tt10661314,2019.0,Documentary,nm4919190,Hassen Ferhani,nm14083866,Ali Damiche,UNKNOWN,UNKNOWN,616291,fr,143 rue du désert,"In the Algerian desert in her relay, for a cigarette, a coffee or eggs, a woman welcomes truckers, vagabonds and dreams... Her name is Malika.",1.841,/axL6z7LNdMb2sayDEhpV1DfABHk.jpg,"['DZ', 'FR']",0,90,"['ar', 'fr']",6.4,8,Art et Essai
Paname Distribution,tt12478488,2022.0,Drama,nm0513371,Philippe Lioret,nm4863002|nm4051466|nm0521051|nm1213573,"Teïlo Azaïs,Nassim Lyes,Jean-Pierre Lorit,Arsène Mosca",nm12056075|nm5095015|nm0217148|nm4159235|nm14269315,"Sabrina Levoye,Marie Dompnier,Fejria Deliba,Myriem Akheddiou,Iliana Khelifa",967545,fr,16 ans,"Nora and Leo, 16, live in the same town, in the same suburbs, go to the same highschool, but everything opposes them: their social backgrounds, their families religions, their everyday lives. Yet, they fall in love at first sight. But from a theft accusation bringing into conflict their respective families, their love story will have to face a series of trials and dramas.",1.82,/xxu4Z5lYY22k5mQNS7Uh9ihR9rU.jpg,['FR'],0,94,['fr'],6.364,11,Art et Essai
Sophie Dulac Distribution,tt10011226,2019.0,Documentary,nm1736326,Davy Rothbart,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,597612,en,17 Blocks,"Using two decades of intimate home video, the story of the Sanford family, whose struggles with addiction and gun violence eventually lead to a journey of love, loss, and acceptance.",1.888,/4Qom9ChexgW8cnf2TUSPjsBJ4EV.jpg,['US'],0,98,['en'],6.6,5,Art et Essai
ARP SELECTION,tt0296591,2002.0,Drama,nm0393394,Christophe Honoré,nm0244151|nm0752294|nm1182084|nm1181839|nm0456268,"Romain Duris,Ange Ruzé,Johan Oderio-Robles,Tiago Manaïa,Jérôme Kircher",nm0001095|nm0050210|nm0120431,"Béatrice Dalle,Jeanne Balibar,Marie Bunel",62415,fr,17 fois Cécile Cassard,"Haunted by the death of her husband, a woman travels to another town and finds a soul mate.",0.971,/7U8hBiL4KxE7xlujEtaaxsOtUZR.jpg,['FR'],0,105,['fr'],5.2,17,Art et Essai
UNKNOWN,tt0071082,1974.0,Documentary,nm0594892,Ariane Mnouchkine,nm0025445|nm0099724|nm0146431|nm0183734|nm0327865,"Roland Amstutz,Jean-Claude Bourbault,Philippe Caubère,Serge Coursan,Mario Gonzales",nm0072359|nm0220313|nm6880947|nm0299662|nm0154706,"Lucia Bensasson,Joséphine Derenne,Martine Francke,Nicole Félix,Louba Guertchikoff",392469,fr,1789,"Recording of the play 1789, a collective creation by Théâtre du Soleil at La Cartoucherie de Vincennes in 1970, edited from several shows.",0.6,/bMWSd1UPhRQtXofpCgoxqmTfdAk.jpg,['FR'],0,151,['fr'],6.7,5,Art et Essai
ACTION,tt0098963,1990.0,"Drama,History,Romance",nm0573427,Ken McMullen,nm0786022|nm0001487|nm0001758|nm0211696|nm0573862,"Roshan Seth,John Lynch,Timothy Spall,Alexandre de Sousa,Ian McNeice",nm0869128|nm0210218|nm1227297|nm0655859,"Maria João Toscano,Maria de Medeiros,Jacqui Dankworth,Ana Padrão",254008,en,1871,A young actress becomes politically aware within the Paris Commune of 1871.,1.127,/9bL4iTdSLRw4RzNVMtyIFr2pvgd.jpg,[],0,100,"['en', 'fr']",5.2,6,Art et Essai
BODEGA FILMS,tt0262196,2000.0,"Comedy,Crime,Drama",nm0913820,Kazushi Watanabe,nm0442873|nm0913820|nm0635724|nm0793959|nm0256919,"Daijirô Kawaoka,Kazushi Watanabe,Takeo Noro,Ryo Shinmyo,Masashi Endô",UNKNOWN,UNKNOWN,36280,ja,19,"A university student is kidnapped by young men in a car. No ransom is asked as the men are just bored roving thugs who have nothing better to do nor do they have any specific mission or purpose. Fascinated by the men's close bonds, the abused student slowly turns from victim to accomplice.",1.535,/2Z5O0mrai9WoNhJCSmF3rt1oeG8.jpg,['JP'],0,83,['ja'],6.1,11,Art et Essai
Universal Pictures International France,tt8579674,2019.0,"Action,Drama,War",nm0005222,Sam Mendes,nm2835616|nm1126657|nm0990547|nm0000147|nm2553988,"Dean-Charles Chapman,George MacKay,Daniel Mays,Colin Firth,Pip Carter",UNKNOWN,UNKNOWN,530915,en,1917,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",35.844,/iZf0KyrE25z1sage4SYFLCCrMi9.jpg,"['IN', 'ES', 'GB', 'US']",394638258,119,"['en', 'fr', 'de']",7.986,10981,Art et Essai
CONNAISSANCE DU CINEMA,tt0145597,1974.0,Documentary,nm0220019,Raymond Depardon,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,37480,fr,"1974, une partie de campagne",Following the 1974 French presidential campaign with Valery Gicard d'Estaing,2.037,/5GBm3aqNfAGRdgYaPvS3li6kBkk.jpg,[],0,90,['fr'],6.4,14,Art et Essai
AD VITAM,tt0207943,1999.0,"Comedy,Romance",nm0099324,Laurent Bouhnik,nm0086952|nm0299695|nm0303145|nm0431221|nm0089801,"Manuel Blanc,Jean-Michel Fête,Jean-François Gallotte,Samuel Jouy,Serge Blumental",nm0109721|nm0000733|nm0677546|nm0494161,"Véra Briole,Anouk Aimée,Aurélia Petit,Renée Le Calm",49117,fr,1999 Madeleine,"1999 Madeleine is the first step in an ambitious project by the French filmmaker Laurent Bouhnik to make one film per year between 1999-2009, recounting the turn of the century in an interweaving narrative pattern. Episode one is about Madeline, a lonely woman obsessed by religion and cleanliness. Her solitary existence leads her to place an advertisement for a man willing to share his life with a 'single, working 35-year-old.' She is a woman of our times who is caught between the paradoxes of modern life and individual needs for communication. The world offers her opportunities to satisfy material needs but, unfortunately, this is to the detriment of her spiritual needs.",1.13,/tX0ro1WBa20PwoBxoW6re4izpVO.jpg,['FR'],0,86,['fr'],5.0,1,Art et Essai
UFO Distribution,tt2871116,2013.0,Comedy,nm1715466,Sébastien Betbeder,nm0531195|nm3319078|nm0087111|nm0161701|nm3495330,"Vincent Macaigne,Bastien Bouillon,Thomas Blanchard,Jean-Quentin Châtelain,Olivier Chantreau",nm3426050|nm4098287|nm3011788|nm2540424,"Maud Wyler,Audrey Bastien,Pauline Etienne,Eriko Takeda",196398,fr,2 automnes 3 hivers,"At 33, Arman has decided to change his life. He starts by running. It’s a good start. Amélie carries on with her life. She runs, as well. The first encounter is a shock. The second is a stab in the heart.",3.512,/q1ENz1dtFquqmFA6UaALm2IaTyY.jpg,['FR'],0,90,['fr'],5.9,37,Art et Essai
REZO Films,tt1602472,2012.0,"Comedy,Drama,Romance",nm0000365,Julie Delpy,nm0001674|nm0217817|nm1595314|nm0048414|nm0117709,"Chris Rock,Albert Delpy,Alexandre Nahon,Dylan Baker,Daniel Brühl",nm0000365|nm0006952|nm0123632|nm3164503,"Julie Delpy,Alexia Landeau,Kate Burton,Talen Ruth Riley",84165,en,2 Days in New York,"Marion and Mingus both come from failed relationships but, by bringing their children together, they've managed to form a small yet happy family. Tensions in their household soon begin to spike when Marion's jovial father shows up on their doorstep with his randy daughter and her peculiar boyfriend in tow. As the motor-mouthed houseguests shatter every taboo imaginable, the happy couple begin to question their commitment.",7.147,/kkP3yg0Y1v0PdxgDtMDJ9obZizt.jpg,"['FR', 'DE', 'BE']",1653792,91,"['en', 'it', 'fr']",5.681,258,Art et Essai
EPICENTRE FILMS,tt0158446,1998.0,"Comedy,Drama,Romance",nm0108447,Manon Briand,nm0851658|nm0092830|nm0671149|nm0105442|nm0041512,"Dino Tavarone,Jonathan Bolduc,Yves Pelletier,André Brassard,Pascal Auclair",nm0491422|nm0167501|nm0286190|nm0301664,"Charlotte Laurier,Suzanne Clément,Louise Forestier,France Galarneau",62097,en,2 Secondes,"Laurie, a professional downhill racer gets fired because of her slight overindulgence in irresponsibility. She returns to Montreal where she is welcomed by her geeky but cute brother. She meets Lorenzo, a cranky, ex-racer who owns a bike shop. The two become friends. Laurie gets a job with a local bicycle courier company, but a member of the group is intent on shutting her out of their circles, making her life difficult and sad. After a bonding truth-revealing discussion between Laurie and Lorenzo, Laurie begins to see what she has to do to make things better for herself.",0.6,/wvVZxSFZ4KmhKR6O8k5itVbbwK9.jpg,['CA'],0,100,"['en', 'fr']",4.5,13,Art et Essai
REZO FILMS,tt0497701,2006.0,Drama,nm0529750,Lâm Lê,nm0629008|nm0501826|nm2156717|nm2106578,"Eric Nguyen,Santha Leng,Lephen Purwanto,Liam Nguyen",nm0944255|nm2158869,"Natalia Wörner,Monic Arijanto",129922,fr,20 nuits et un jour de pluie,"She was fleeing the West, and he the East. She was European, light-skinned, on her way back from Java, at the edge of the world. Once North-Vietnamese, now a proud Frenchman, he had an apartment in the center of Paris. This film tells the story of their embrace, 20 nights under the Parisian sky, in the shadow of Notre Dame. During these 20 nights they find refuge in each other's bodies.",1.955,/wiae90qhWLw3s0gLKTD0QiJmUlF.jpg,"['DE', 'FR']",0,85,"['de', 'fr']",4.5,2,Art et Essai
MARS FILMS,tt4385888,2016.0,"Comedy,Drama",nm0590122,Mike Mills,nm0001082|nm6722749|nm5242828|nm0958206,"Billy Crudup,Lucas Jade Zumann,Vitaly Andrew LeBeau,Waleed Zuaiter",nm0000906|nm1102577|nm1950086|nm0254362|nm0318744,"Annette Bening,Elle Fanning,Greta Gerwig,Alison Elliott,Thea Gill",342737,en,20th Century Women,"In 1979 Santa Barbara, California, Dorothea Fields is a determined single mother in her mid-50s who is raising her adolescent son, Jamie, at a moment brimming with cultural change and rebellion. Dorothea enlists the help of two younger women – Abbie, a free-spirited punk artist living as a boarder in the Fields' home and Julie, a savvy and provocative teenage neighbour – to help with Jamie's upbringing.",10.483,/mso2rEr9i0MilRIOao5HaWFipS9.jpg,['US'],5664764,119,['en'],7.346,1024,Art et Essai
MK2 DIFFUSION,tt0229187,2002.0,Drama,nm0099324,Laurent Bouhnik,nm0785664|nm0182666|nm0886072|nm0805229|nm1276288,"Michel Serrault,Nikolaj Coster-Waldau,Clément van den Bergh,Bruno Slagmulder,Jean-Claude Lamy",nm0418450|nm0067367|nm0053384|nm0238811,"Agnès Jaoui,Bérénice Bejo,Frances Barber,Valérie Dréville",64208,fr,24 heures de la vie d'une femme,"Set in 1913, 1936 and 2001. When he returns to the casino and seaside resort of his early teens, Louis, a 78 year old man encounters Olivia, a 19 year old young woman madly in love with a violent cad. Louis tells the story of his own mother having a passionate, driven fling with his Italian tennis instructor in 1936, and of Marie Collins Brown, the slightly older widowed woman who helped him through his confusion and pain by recounting the story of her passionate 24 hour fling with a hopeless young Polish gambler in 1913.",1.168,/e72rmKueevGe5KmJeduxGU29igF.jpg,"['FR', 'DE', 'GB']",0,107,['fr'],5.4,8,Art et Essai
FILMS DU PARADOXE,tt0274309,2002.0,"Biography,Comedy,Drama",nm0935863,Michael Winterbottom,nm0176869|nm0416694|nm0861027|nm0691586|nm0359398,"Steve Coogan,Lennie James,John Thomson,Paul Popplewell,Martin Hancock",nm0376602,Shirley Henderson,2750,en,24 Hour Party People,"Manchester, 1976. Tony Wilson is an ambitious but frustrated local TV news reporter looking for a way to make his mark. After witnessing a life-changing concert by a band known as the Sex Pistols, he persuades his station to televise one of their performances, and soon Manchester's punk groups are clamoring for him to manage them. Riding the wave of a musical revolution, Wilson and his friends create the legendary Factory Records label and The Hacienda club.",9.791,/8f50NQ1wz6hdxfCISCPV8XQ6DII.jpg,['GB'],0,117,['en'],6.942,368,Art et Essai
MK2 DIFFUSION,tt0935030,2007.0,Drama,nm0504267,Jalil Lespert,nm0536095|nm0098793|nm0791906|nm2848415,"Benoît Magimel,Sami Bouajila,Archie Shepp,Steve Mac Graven",nm0044073|nm0020130|nm0858053|nm1202905|nm0001943,"Lubna Azabal,Bérangère Allaux,Aurélia Thiérrée,Clotilde Hesme,Marisa Berenson",17366,fr,24 mesures,"It is Christmas Eve. Separated from her young son, Helly struggles for money. A solitary man, Didier pays her to play his fiancée for the night. But the act comes to a tragic end. Left stunned, Helly meets Marie, who takes her in, on her way to the coast. There they encounter Chris. All three will end the night together. It’s their last move in joy and perdition.",1.395,/pav87fMxjz8sgxjKJJCtnpczzur.jpg,"['CA', 'FR']",0,82,['fr'],3.0,8,Art et Essai
FILMS DU SAFRAN,tt0356317,2004.0,"Comedy,Drama",nm0904274,Stéphane Vuillet,nm0303826|nm0739549|nm0575939|nm0210918,"Jacques Gamblin,Pedro Romero,Aleksandr Medvedev,Josse De Pauw",nm0560962|nm0200848|nm1178903|nm0044073|nm0501088,"Carmen Maura,Ingeborga Dapkunaite,Raphaëlle Molinier,Lubna Azabal,Valérie Lemaître",79346,fr,25 degrés en hiver,An Ukranian woman enters Belgium illegally and hides in the van of a driver abandoned by his wife. He ends up helping her to find her husband who had emigrated long before. They are joined by his wacky Spanish mother and cute young daughter.,0.763,/p6owlIaOogPw6msJyWq80hv7Vpw.jpg,"['BE', 'FR', 'RU', 'ES']",0,90,"['nl', 'fr', 'ru', 'es']",8.0,2,Art et Essai
Wayna Pitch,tt5451118,2018.0,"Comedy,Drama,Romance",nm0918326,Hans Weingartner,nm5516210|nm0777912|nm0773571|nm3457170|nm6263152,"Anton Spieker,Arndt Schwering-Sohnrey,Thomas Schmuckert,Jörg Bundschuh,Steven Lange",nm3605549|nm1773475|nm6376291|nm10566580,"Mala Emde,Hannah Schröder,Sophia Tschanett,Valeria Dymova",493900,de,303,Two university students gain insight into life and love as they get to know each other during a road trip across Europe.,6.528,/4GzC8xdGojbSabzsi2tm1TqEU8R.jpg,['DE'],0,145,['hu'],7.313,104,Art et Essai
WILD BUNCH Distribution,tt1100048,2008.0,Drama,nm0219136,Claire Denis,nm0220976|nm0171499|nm1739904|nm3342729|nm1277033,"Alex Descas,Grégoire Colin,Jean-Christophe Folly,Mario Canonge,Stéphane Pocrain",nm2841936|nm0230521|nm3343336|nm1992411|nm0147061,"Mati Diop,Nicole Dogué,Julieth Mars Toussaint,Adèle Ado,Ingrid Caven",26191,fr,35 Rhums,"Lionel, a widower, has raised his daughter, Josephine, on his own since she was young. The two are used to living alone, depending solely on one another. But, now that Josephine is older, Lionel is beginning to realize they cannot stay isolated forever.",4.126,/fvoUX74RTx6KU9Fc9jtVrj7ArBJ.jpg,"['FR', 'DE']",0,100,"['de', 'fr']",6.826,66,Art et Essai
FILMS DU LOSANGE,tt1239285,2009.0,"Comedy,Drama",nm0729626,Jacques Rivette,nm0144812|nm0545838|nm0094782|nm3544232|nm3017867,"Sergio Castellitto,André Marcon,Jacques Bonnaffé,Tintin Orsoni,Mikaël Gaspar",nm0000945|nm0663139|nm3544253|nm2169779,"Jane Birkin,Julie-Marie Parmentier,Hélène de Vallombreuse,Vimala Pons",59947,fr,36 vues du pic Saint-Loup,"Vittorio stops to help Kate when her car breaks down on a mountain road. When they meet again,  Vittorio discovers that Kate has rejoined a circus after a long time away. He begins to learn about the troupe's buried past and Kate's connection to it, while experiencing the magic of the circus.",1.4,/fn5XKgJfeHoY4tiF6X7BFRCaNhO.jpg,"['FR', 'IT']",0,84,['fr'],6.0,11,Art et Essai
WILD BUNCH Distribution,tt1680045,2011.0,"Crime,Drama,Mystery",nm0576987,Fernando Meirelles,nm0000179|nm0000164|nm0004936|nm0471406|nm0604948,"Jude Law,Anthony Hopkins,Ben Foster,Johannes Krisch,Peter Morgan",nm0001838|nm2521724|nm4387549|nm1161274,"Rachel Weisz,Lucia Siposová,Gabriela Marcinková,Danica Jurcová",89455,en,360,"Inspired by Arthur Schnitzler's classic La Ronde, screenwriter Peter Morgan and director Fernando Meirelles' 360 combines a modern and dynamic roundelay of stories into one, linking characters from different cities and countries in a vivid, suspenseful and deeply moving tale of love in the 21st century. Starting in Vienna, the film beautifully weaves through Paris, London, Bratislava, Rio, Denver and Phoenix into a single, mesmerizing narrative.",10.676,/w2JD7hy0kZvEAX81yHHpHyjldGK.jpg,"['AT', 'BR', 'FR', 'GB']",1663931,110,"['en', 'de', 'ar', 'fr', 'pt', 'ru']",5.716,243,Art et Essai
GAUMONT,tt0090563,1986.0,"Drama,Romance",nm0000894,Jean-Jacques Beineix,nm0000767|nm0201462|nm0558976|nm0512071|nm0041747,"Jean-Hugues Anglade,Gérard Darmon,Jacques Mathou,Vincent Lindon,Claude Aufaure",nm0001095|nm0208850|nm0194662|nm0195530,"Béatrice Dalle,Consuelo De Haviland,Clémentine Célarié,Catherine D'At",11986,fr,37°2 le matin,A lackadaisical handyman and aspiring novelist tries to support his younger girlfriend as she slowly succumbs to madness.,12.562,/dGkxgj2ozlD4yRtsJL35EUXegFv.jpg,['FR'],2003822,120,['fr'],7.237,346,Art et Essai
DIAPHANA,tt1817286,2012.0,Drama,nm0069711,Lucas Belvaux,nm0040939|nm0275013|nm0221029|nm0762240|nm0563573,"Yvan Attal,François Feroleto,Patrick Descamps,Didier Sandre,Bernard Mazzinghi",nm1070112|nm0305368|nm0753696,"Sophie Quinton,Nicole Garcia,Natacha Régnier",95191,fr,38 témoins,"In the harbor city of Le Havre, France, a woman is stabbed during the night, just below the windows of her neighborhood. Pierre (Yvan Attal) has witnessed the murder, and heard the wails of the women crying for help. So have the neighbors, certainly. But at the end, nobody called the police. Nevertheless, sorrows are too heavy for Pierre, which feel the needs to tell everything to his wife (Sophie Quinton), and to the police. During the investigation, it appears that 38 people witnessed the murdering, and none reacted...",3.274,/dtMWw10XHdRce57jAdpH2YAv55x.jpg,"['BE', 'FR']",0,104,"['fr', 'en']",5.6,42,Art et Essai
UNKNOWN,tt0057810,1964.0,"Crime,Drama",nm0803672,Vilgot Sjöman,nm0511234|nm0638800|nm0879526|nm0361445|nm0019334,"Lars Lind,Leif Nymark,Stig Törnblom,Lars Hansson,Sven Algotsson",nm0638784,Lena Nyman,83704,sv,491,"A study in forgiveness as oppression and goodness as provocation. Six youth criminals are chosen to participate in a social experiment where they are assigned to live together in a rundown apartment in the heart of Stockholm, Sweden. The six boys are being supervised by two forgiving and uneasy social workers. Their need to continue to commit petty crimes escalates out of boredom with the situation. One night they run into a young girl in trouble.",1.264,/8eOGkaNjcFtLcVoiL4fnEqW0ZYz.jpg,['SE'],0,102,['sv'],6.0,12,Art et Essai
