Distributeur,tconst,Année_de_Sortie,Genre,Réalisateur_id,Réalisateur,Acteur_Id,Acteur,Actrice_Id,Actrice,Id_film,original_language,Titre,Synopsis,Popularité,Affiche_de_Film,Pays,Revenues,Durée,Langues,Note,Nombre_de_Vote,Catégorie
UNKNOWN,tt7713068,2020.0,"Action,Comedy,Crime",nm4014166,Cathy Yan,nm0000191|nm0582149|nm1352845,"Ewan McGregor,Chris Messina,David Ury",nm3053338|nm0001609|nm0935541|nm0935541|nm0810619,"Margot Robbie,Rosie Perez,Mary Elizabeth Winstead,Mary Elizabeth Winstead,Jurnee Smollett",495764,en,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),"Harley Quinn joins forces with a singer, an assassin and a police detective to help a young girl who had a hit placed on her after she stole a rare diamond from a crime lord.",51.507,/h4VB6m0RwcicVEZvzftYZyKXs6K.jpg,['US'],205372791,109,['en'],6.972,9397,Blockbuster Américain
UNKNOWN,tt7737786,2020.0,"Action,Adventure,Thriller",nm0006846,Ric Roman Waugh,nm0124930|nm9819444|nm0001277|nm5381015|nm0664710,"Gerard Butler,Roger Dale Floyd,Scott Glenn,Randal Gonzalez,Rick Pasqualone",nm1072555|nm2068832|nm1683133,"Morena Baccarin,Nicola Lambo,Claire Bronson",524047,en,Greenland,"John Garrity, his estranged wife and their young son embark on a perilous journey to find sanctuary as a planet-killing comet hurtles toward Earth. Amid terrifying accounts of cities getting levelled, the Garritys experience the best and worst in humanity. As the countdown to the global apocalypse approaches zero, their incredible trek culminates in a desperate and last-minute flight to a possible safe haven.",49.117,/bNo2mcvSwIvnx8K6y1euAc1TLVq.jpg,"['GB', 'US']",52300000,120,['en'],7.141,3830,Blockbuster Américain
UNKNOWN,tt7740496,2021.0,"Crime,Drama,Thriller",nm0868219,Guillermo del Toro,nm0177896|nm0000353|nm0420955|nm0000579|nm0000657,"Bradley Cooper,Willem Dafoe,Richard Jenkins,Ron Perlman,David Strathairn",nm0000949|nm0001057|nm1913734|nm0005460,"Cate Blanchett,Toni Collette,Rooney Mara,Mary Steenburgen",597208,en,Nightmare Alley,An ambitious carnival man with a talent for manipulating people with a few well-chosen words hooks up with a female psychologist who is even more dangerous than he is.,42.81,/680klE0dIreQQOyWKFgNnCAJtws.jpg,['US'],39629195,150,['en'],7.0,2372,Blockbuster Américain
UNKNOWN,tt7752126,2019.0,"Drama,Fantasy,Horror",nm0946521,David Yarovesky,nm0219292|nm6676262|nm6561765|nm8390871|nm2804503,"David Denman,Jackson A. Dunn,Abraham Clinkscales,Christian Finlayson,Matt Jones",nm0006969|nm1684744|nm8366282|nm2993517|nm0906345,"Elizabeth Banks,Jennifer Holland,Emmie Hunter,Meredith Hagner,Becky Wahlstrom",531309,en,Brightburn,"What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",43.608,/sJWwkYc9ajwnPRSkqj8Aue5JbKz.jpg,['US'],33224654,91,['en'],6.113,2734,Blockbuster Américain
UNKNOWN,tt7784604,2018.0,"Drama,Horror,Mystery",nm4170048,Ari Aster,nm0000321|nm1842974|nm0526218|nm8346433|nm9889944,"Gabriel Byrne,Alex Wolff,Morgan Lund,Jake Brown,Harrison Nell",nm0001057|nm8412536|nm0838647|nm5533830|nm6861218,"Toni Collette,Milly Shapiro,Christy Summerhays,Mallory Bechtel,BriAnn Rachele",493922,en,Hereditary,"When Ellen, the matriarch of the Graham family, passes away, her daughter's family begins to unravel cryptic and increasingly terrifying secrets about their ancestry.",50.674,/p9fmuz2Oj3HtEJEqbIwkFGUhVXD.jpg,['US'],82530552,128,['en'],7.269,6568,Blockbuster Américain
UNKNOWN,tt7798634,2019.0,"Action,Comedy,Horror",nm2366012,Matt Bettinelli-Olpin,nm0111013|nm1975628|nm0001089|nm2106870|nm0707816,"Adam Brody,Mark O'Brien,Henry Czerny,Kristian Bruun,John Ralston",nm3034977|nm0000510|nm1234276|nm1137028|nm0309914,"Samara Weaving,Andie MacDowell,Melanie Scrofano,Elyse Levesque,Nicky Guadagni",567609,en,Ready or Not,A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,28.002,/vOl6shtL0wknjaIs6JdKCpcHvg8.jpg,"['US', 'CA']",57615777,95,['en'],7.057,3715,Blockbuster Américain
UNKNOWN,tt7846844,2020.0,"Adventure,Crime,Drama",nm0102873,Harry Bradbeer,nm0147147|nm3510471|nm6273024|nm1218607|nm2253821,"Henry Cavill,Sam Claflin,Louis Partridge,Burn Gorman,Adeel Akhtar",nm5611121|nm0000307|nm1941294|nm0602455,"Millie Bobby Brown,Helena Bonham Carter,Susan Wokoma,Hattie Morahan",497582,en,Enola Holmes,"While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord.",22.823,/riYInlsq2kf1AWoGm80JQW5dLKp.jpg,['US'],0,123,['en'],7.31,5328,Blockbuster Américain
UNKNOWN,tt7888964,2021.0,"Action,Crime,Drama",nm5820154,Ilya Naishuller,nm0644022|nm0148516|nm0000502|nm0000461|nm0758760,"Bob Odenkirk,Aleksey Serebryakov,Christopher Lloyd,Michael Ironside,Colin Salmon",nm0001567,Connie Nielsen,615457,en,Nobody,"Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind.",63.359,/oBgWY00bEFeZ9N25wWVyuQddbAo.jpg,['US'],61779301,92,"['en', 'ru', 'es']",8.054,5816,Blockbuster Américain
UNKNOWN,tt7959026,2018.0,"Crime,Drama,Thriller",nm0000142,Clint Eastwood,nm0000142|nm0177896|nm0000401|nm8423767|nm1478076,"Clint Eastwood,Bradley Cooper,Laurence Fishburne,Patrick L. Reyes,Cesar De León",nm1836910|nm10260847,"Jackie Prucha,Christi McClintock",504172,en,The Mule,"Earl Stone, a man in his eighties, is broke, alone, and facing foreclosure of his business when he is offered a job that simply requires him to drive. Easy enough, but, unbeknownst to Earl, he's just signed on as a drug courier for a Mexican cartel. He does so well that his cargo increases exponentially, and Earl hit the radar of hard-charging DEA agent Colin Bates.",18.889,/klazQbxk3yfuZ8JcfO9jdKOZQJ7.jpg,"['CA', 'US']",174804407,116,"['en', 'es']",6.821,4464,Blockbuster Américain
UNKNOWN,tt7961060,2018.0,"Action,Adventure,Animation",nm0619110,Tatsuya Nagamine,nm0394690|nm0394690|nm0299192|nm0476223|nm0620333,"Ryô Horikawa,Ryô Horikawa,Toshio Furukawa,Takeshi Kusao,Ryûsei Nakao",nm0637586|nm0637586|nm0637586|nm0386752,"Masako Nozawa,Masako Nozawa,Masako Nozawa,Aya Hisakawa",503314,ja,ドラゴンボール超スーパー ブロリー,"Earth is peaceful following the Tournament of Power. Realizing that the universes still hold many more strong people yet to see, Goku spends all his days training to reach even greater heights. Then one day, Goku and Vegeta are faced by a Saiyan called 'Broly' who they've never seen before. The Saiyans were supposed to have been almost completely wiped out in the destruction of Planet Vegeta, so what's this one doing on Earth? This encounter between the three Saiyans who have followed completely different destinies turns into a stupendous battle, with even Frieza (back from Hell) getting caught up in the mix.",16.388,/f03YksE4NggUjG75toz4H1YAGRf.jpg,"['JP', 'US']",125002821,99,['ja'],7.877,2620,Blockbuster Américain
